id,lat,lon
ELEC.PLANT.GEN.70-WAT-ALL.M,55.613892,-131.35417
ELEC.PLANT.GEN.70-WAT-HY.M,55.613892,-131.35417
ELEC.PLANT.GEN.696-ALL-ALL.M,24.710833,-81.0927
ELEC.PLANT.GEN.7011-DFO-ALL.M,37.175,-101.3458
ELEC.PLANT.GEN.663-NG-ALL.M,29.7592,-82.3878
ELEC.PLANT.GEN.703-DFO-ALL.M,34.1256,-84.9222
ELEC.PLANT.GEN.7018-ALL-ALL.M,37.6376,-95.4704
ELEC.PLANT.GEN.7018-DFO-ALL.M,37.6376,-95.4704
ELEC.PLANT.GEN.7011-ALL-ALL.M,37.175,-101.3458
ELEC.PLANT.GEN.702-ALL-ALL.M,32.661976,-85.091552
ELEC.PLANT.GEN.6639-DFO-ST.M,37.6461,-87.5
ELEC.PLANT.GEN.6637-ALL-ALL.M,59.544553,-139.724306
ELEC.PLANT.GEN.703-DFO-ST.M,34.1256,-84.9222
